id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
205,2014,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"682,950",0.7,26.77,"55,670",15.67,19.79,25.7,32.52,39.97,"32,590","41,160","53,460","67,650","83,140"
206,2014,17-3010,Drafters,broad,"199,260",1.3,26.37,"54,850",15.97,19.79,24.97,31.27,39.06,"33,230","41,170","51,940","65,040","81,240"
207,2014,17-3011,Architectural and Civil Drafters,detailed,"91,520",1.7,25.23,"52,480",15.78,19.37,24.03,29.46,36.37,"32,820","40,290","49,970","61,280","75,650"
208,2014,17-3012,Electrical and Electronics Drafters,detailed,"29,390",5.5,29.83,"62,040",17.37,22.12,28.26,36.41,44.83,"36,130","46,010","58,790","75,740","93,250"
209,2014,17-3013,Mechanical Drafters,detailed,"64,070",1.6,26.57,"55,260",16.11,19.96,25.1,31.58,39.72,"33,510","41,510","52,200","65,680","82,610"
210,2014,17-3019,"Drafters, All Other",detailed,"14,270",3.4,25.7,"53,450",15.05,18.46,24.04,31.18,39.07,"31,290","38,400","49,990","64,860","81,250"
211,2014,17-3020,"Engineering Technicians, Except Drafters",broad,"432,950",1,27.61,"57,430",16.16,20.57,26.77,33.56,40.96,"33,610","42,770","55,690","69,810","85,200"
212,2014,17-3021,Aerospace Engineering and Operations Technicians,detailed,"11,230",9.6,30.92,"64,310",18.48,24.19,30.66,38.19,44.87,"38,440","50,310","63,780","79,450","93,330"
213,2014,17-3022,Civil Engineering Technicians,detailed,"71,300",1.4,24.18,"50,290",14.93,18.05,23.24,29.1,35.51,"31,060","37,540","48,340","60,520","73,860"
214,2014,17-3023,Electrical and Electronics Engineering Technicians,detailed,"137,040",2.3,29.01,"60,330",17.25,22.21,28.76,34.76,42.23,"35,880","46,200","59,820","72,300","87,840"
215,2014,17-3024,Electro-Mechanical Technicians,detailed,"14,430",4.9,26.73,"55,600",15.99,19.94,25.52,32.74,39.76,"33,260","41,470","53,070","68,110","82,700"
216,2014,17-3025,Environmental Engineering Technicians,detailed,"18,080",3,24.53,"51,030",14.54,17.77,23.16,29.7,37.03,"30,250","36,950","48,170","61,790","77,030"
217,2014,17-3026,Industrial Engineering Technicians,detailed,"65,680",3.7,26.76,"55,660",16.43,20.43,25.66,31.79,38.81,"34,180","42,490","53,370","66,130","80,730"
218,2014,17-3027,Mechanical Engineering Technicians,detailed,"47,560",2.4,26.67,"55,470",16.31,20.3,25.74,32.24,38.3,"33,920","42,210","53,530","67,060","79,670"
219,2014,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"67,640",2,30.35,"63,140",16.79,22.58,29.6,36.81,44.84,"34,920","46,970","61,580","76,560","93,260"
220,2014,17-3030,Surveying and Mapping Technicians,broad,"50,750",2.1,21.09,"43,870",12.15,15.31,19.6,25.74,32.36,"25,270","31,840","40,770","53,540","67,320"
221,2014,17-3031,Surveying and Mapping Technicians,detailed,"50,750",2.1,21.09,"43,870",12.15,15.31,19.6,25.74,32.36,"25,270","31,840","40,770","53,540","67,320"
222,2014,19-0000,"Life, Physical, and Social Science Occupations",major,"1,144,440",0.8,33.69,"70,070",15.47,20.91,29.55,42.33,56.64,"32,170","43,490","61,450","88,040","117,810"
223,2014,19-1000,Life Scientists,minor,"278,790",1.8,38.44,"79,950",19.64,25.01,34.12,46.75,62.09,"40,850","52,020","70,960","97,230","129,150"
224,2014,19-1010,Agricultural and Food Scientists,broad,"31,670",2.6,31.85,"66,250",17.15,21.99,29.18,38.46,51,"35,670","45,750","60,690","80,000","106,080"
